mes;anio;mes_nombre;mantencion_h;operacional_h;proceso_h;programado_h;total_perdido_h;top_causas
1;2026;Enero;276.8;168.4;540.0;84.5;985.2;"Detenido por apoyo a otro eq (438h); Reparacion/Falla equipo de T (139h); Falta de trozado (70h)"
2;2026;Febrero;247.2;77.8;573.0;33.0;898.0;"Detenido por apoyo a otro eq (526h); Reparacion/Falla equipo de T (157h); Reparacion/Falla de equipo d (50h)"
3;2026;Marzo;292.5;182.8;192.5;32.5;667.8;"Reparacion/Falla equipo de T (148h); Sobre Shoveleo (73h); Detenido por apoyo a otro eq (66h)"
4;2026;Abril;460.2;146.0;105.8;62.0;712.0;"Reparacion/Falla equipo de T (207h); Reparacion/Falla equipo de v (138h); Falta de volteo o desrame (42h)"
5;2026;Mayo;375.5;192.2;103.0;71.5;670.8;"Reparacion/Falla equipo de T (233h); Traslados otro predio (65h); Reparacion/Falla equipo de v (64h)"
